forest,42
legs,42
daily,42
indeed,42
tonight,42
food,42
near,42
third,42
straight,42
nobody,41
dragons,41
soon,41
faces,41
grinning,41
heads,41
pain,41
hat,41
i'd,41
stuff,41
finally,41
dad,41
taking,41
filch,40
bad,40
move,40
cedric's,40
azkaban,40
hour,40
followed,40
enormous,40
hedwig,40
spoke,40
lesson,40
closed,40
big,39
hope,39
petunia,39
added,39
whose,39
cauldron,39
real,39
waiting,39
hundred,39
normal,38
friend,38
chance,38
trunk,38
ago,38
goyle,38
except,38
blue,38
smiling,38
bertha,38
voldemort's,38
breath,38
witch,38
quill,38
either,38
silver,38
listening,38
skrewts,38
fact,38
beneath,38
placed,38
stay,38
parvati,38
won't,38
times,38
prophet,37
dear,37
return,37
summer,37
does,37
others,37
stupid,37
shot,37
dementors,37
chapter,37
completely,37
sounded,37
least,37
instead,37
knows,37
possible,37
snape's,37
crabbe,36
working,36
odd,36
wrong,36
less,36
person,36
different,36
finished,36
send,36
loud,36
harrys,36
says,36
veela,36
managed,35
thanks,35
also,35
department,35
cabin,35
whom,35
books,35
who's,35
wall,35
names,35
beyond,35
closer,35
piece,35
died,35
you'd,35
such,35
gray,35
below,35
spell,35
became,35
sky,34
bet,34
bag,34
muggles,34
apparently,34
seized,34
giant,34
angrily,34
sign,34
corridor,34
filled,34
carrying,34
sent,34
crouch's,34
let's,34
running,34
trees,34
worked,34
ran,33
clear,33
listen,33
snapped,33
dungeon,33
mum,33
flying,33
hasn't,33
lit,33
matter,33
parents,33
madam,33
show,33
longer,33
number,33
walk,33
dursleys,33
woman,33
herself,32
yourself,32
arthur,32
bottom,32
during,32
seats,32
brightly,32
edge,32
turning,32
darkness,32
family,32
met,32
quiet,32
'em,32
killed,32
invisibility,32
seat,32
cho,32
information,32
horrible,31
boys,31
speak,31
peeves,31
covered,31
wants,31
pulling,31
line,31
none,31
they've,31
myself,31
pair,31
walls,31
ready,31
fourth,31
leaving,31
nice,31
wait,31
attention,31
looks,31
lost,31
needed,31
expression,31
lying,31
worried,31
rose,31
run,30
heart,30
growled,30
week,30
seeing,30
teeth,30
spider,30
close,30
breakfast,30
blast,30
ceiling,30
delacour,30
pocket,30
hissed,30
power,30
step,30
stand,30
staff,30
closely,29
kind,29
sorry,29
giving,29
wish,29
carriage,29
they'll,29
library,29
burst,29
forced,29
meant,29
low,29
lay,29
following,29
laughing,29
brought,29
dinner,29
broken,29
clearly,29
jumped,29
certainly,29
softly,29
bent,29
charm,29
young,29
witches,29
picked,29
fat,29
christmas,29
owls,29
tea,29
amos,28
surface,28
living,28
aren't,28
facing,28
angry,28
trelawney,28
evening,28
home,28
excitedly,28
wide,28
bring,28
myrtle,28
threw,28
pale,28
realized,28
dropped,28
happy,28
late,28
understand,28
hurt,28
expected,28
maze,28
surprise,28
picture,28
slipped,27
bulgarian,27
an',27
dangerous,27
backward,27
sharply,27
ireland,27
glasses,27
seamus,27
horntail,27
eater,27
happily,27
friends,27
anyway,27
sirius's,27
dress,27
ended,27
tears,27
wood,27
showing,27
brown,27
heavily,27
furiously,27
laugh,27
flew,26
missing,26
nodded,26
book,26
broke,26
spot,26
hufflepuff,26
seriously,26
heavy,26
gasped,26
funny,26
match,26
job,26
doors,26
difficult,26
hospital,26
tiny,26
snake,26
thin,26
student,26
marble,26
waited,26
glass,26
direction,26
village,25
dormitory,25
strong,25
helped,25
slytherins,25
hold,25
clutching,25
rolled,25
stretched,25
skin,25
fear,25
smiled,25
merely,25
tower,25
tightly,25
silent,25
slytherin,25
vanished,25
pomfrey,25
article,25
arts,25
somehow,25
climbed,25
neck,25
allowed,25
seven,25
jorkins,25
bright,25
memory,25
probably,25
tip,25
stands,24
six,24
applause,24
couple,24
round,24
unless,24
within,24
stadium,24
windows,24
asking,24
roared,24
ahead,24
spells,24
speaking,24
nearer,24
sleep,24
throwing,24
middle,24
part,24
sparks,24
disappeared,24
fixed,24
surely,24
led,24
shining,24
cornelius,24
thank,24
emerged,24
worse,24
points,24
supporters,24
shortly,24
meet,24
become,24
eh,24
play,24
remained,24
beaming,24
team,24
hurrying,23
wizarding,23
dancing,23
tents,23
dean,23
wonder,23
tall,23
tail,23
bottle,23
silvery,23
rising,23
strange,23
conversation,23
echoed,23
drew,23
pretty,23
hidden,23
money,23
definitely,23
sense,23
human,23
knees,23
break,23
hello,23
important,23
screaming,23
worry,23
minute,23
we'd,23
excellent,23
anymore,23
circle,23
extra,23
single,23
apart,23
